SensorType,SerialNumber,ScoopID,Equation,A,B,C,D,Offset,SensorStatus
Wind,944,na,E1,3.28E+01,-4.50E+00,na,na,na,Active
Wind,946,na,E1,2.40E+01,-1.90E+00,na,na,na,Active
Wind,955,na,E1,3.21E+01,-4.20E+00,na,na,na,Active
Wind,0,na,E1,2.96E+01,-3.53E+00,na,na,na,na
Imet,45363,na,E2,9.93E-04,2.64E-04,1.47E-07,na,na,Retired
Imet,45364,na,E2,1.01E-03,2.61E-04,1.53E-07,na,na,Retired
Imet,48622,na,E2,1.01E-03,2.62E-04,1.49E-07,na,na,Retired
Imet,48623,na,E2,1.01E-03,2.62E-04,1.48E-07,na,na,Retired
Imet,48627,na,E2,1.00E-03,2.63E-04,1.46E-07,na,na,Retired
Imet,56220,na,E2,1.02E-03,2.61E-04,1.52E-07,na,na,Retired
Imet,57549,B,E2,1.02E-03,2.61E-04,1.53E-07,na,na,Active
Imet,57551,D,E2,1.02E-03,2.60E-04,1.53E-07,na,na,Active
Imet,57552,na,E2,1.02E-03,2.61E-04,1.52E-07,na,na,Retired
Imet,57555,C,E2,1.02E-03,2.60E-04,1.54E-07,na,na,Spare
Imet,57558,D,E2,1.01E-03,2.62E-04,1.49E-07,na,na,Active
Imet,57562,A,E2,1.03E-03,2.59E-04,1.56E-07,na,na,Active
Imet,57563,A,E2,9.91E-04,2.65E-04,1.44E-07,na,na,Active
Imet,57564,C,E2,1.02E-03,2.62E-04,1.50E-07,na,na,Spare
Imet,57565,C,E2,1.03E-03,2.60E-04,1.55E-07,na,na,Spare
Imet,57560,D,E2,9.99E-04,2.63E-04,1.47E-07,na,na,Active
Imet,58814,B,E2,1.01E-03,2.61E-04,1.50E-07,na,na,Active
Imet,58821,A,E2,1.01E-03,2.62E-04,1.48E-07,na,na,Active
Imet,58822,B,E2,1.01E-03,2.62E-04,1.49E-07,na,na,Active
Imet,0,na,E2,1.01E-03,2.62E-04,1.50E-07,na,na,na
RH,0,na,na,na,na,na,na,0,na
RH,1,A,na,na,na,na,na,2827,Active
RH,2,A,na,na,na,na,na,3108,Active
RH,3,A,na,na,na,na,na,1843,Active
RH,4,B,na,na,na,na,na,4493,Active
RH,5,B,na,na,na,na,na,1723,Active
RH,6,B,na,na,na,na,na,4538,Active
RH,7,C,na,na,na,na,na,-2309,Spare
RH,8,C,na,na,na,na,na,-2256,Spare
RH,9,C,na,na,na,na,na,3742,Spare
RH,10,D,na,na,na,na,na,0,Active
RH,11,D,na,na,na,na,na,0,Active
RH,12,D,na,na,na,na,na,0,Active
Imet,62321,E,E2,0.001006796,1.52849E-07,0.07961722,na,na,Active
Imet,62289,E,E2,0.0010019,0.000263249,1.46197E-07,na,na,Active
Imet,62299,E,E2,0.001010653,0.00026159,1.60122E-07,na,na,Active
RH,13,E,E3,0.07961722,0.04891471,na,na,na,Active
RH,14,E,E3,0.1128265,0.03155578,na,na,na,Active
RH,15,E,E3,0.09488131,-0.003953261,na,na,na,Active
Imet,62275,F,E2,9.89E-04,2.65E-04,1.38E-07,na,na,Active
Imet,62288,F,E2,9.89E-04,2.65E-04,1.37E-07,na,na,Active
Imet,62298,F,E2,9.71E-04,2.69E-04,1.26E-07,na,na,Active
RH,16,F,E3,9.10E-02,2.84E-01,na,na,na,Active
RH,17,F,E3,1.80E-01,2.26E-01,na,na,na,Active
RH,18,F,E3,9.30E-02,4.52E-01,na,na,na,Active
Imet,62307,G,E2,9.99E-04,2.64E-04,1.45E-07,na,na,Active
Imet,62322,G,E2,1.00E-03,2.63E-04,1.47E-07,na,na,Active
Imet,62290,G,E2,9.97E-04,2.64E-04,1.45E-07,na,na,Active
RH,19,G,E3,8.32E-02,2.00E-01,na,na,na,Active
RH,20,G,E3,1.18E-01,2.16E-01,na,na,na,Active
RH,21,G,E3,8.59E-02,1.34E-01,na,na,na,Active
Imet,62312,H,E2,9.91E-04,2.65E-04,1.41E-07,na,na,Active
Imet,62323,H,E2,1.00E-03,2.63E-04,1.49E-07,na,na,Active
Imet,62291,H,E2,9.97E-04,2.64E-04,1.45E-07,na,na,Active
RH,22,H,E3,9.91E-02,1.49E-01,na,na,na,Active
RH,23,H,E3,9.66E-02,-2.66E-02,na,na,na,Active
RH,24,H,E3,8.59E-02,-9.05E-02,na,na,na,Active
Imet,44542,I,E2,1.03E-03,2.58E-04,1.75E-07,na,na,Active
Imet,44518,I,E2,1.01E-03,2.60E-04,1.64E-07,na,na,Active
Imet,44547,I,E2,1.03E-03,2.58E-04,1.70E-07,na,na,Active
RH,25,I,E3,4.00E-02,2.67E-01,na,na,na,Active
RH,26,I,E3,5.62E-02,1.83E-01,na,na,na,Active
RH,27,I,E3,4.29E-02,1.62E-01,na,na,na,Active
Imet,44537,J,E2,1.00E-03,2.63E-04,1.49E-07,na,na,Active
Imet,44516,J,E2,1.00E-03,2.62E-04,1.52E-07,na,na,Active
Imet,44545,J,E2,1.00E-03,2.63E-04,1.47E-07,na,na,Active
RH,28,J,E3,3.26E-02,-2.81E-01,na,na,na,Active
RH,29,J,E3,5.58E-02,1.28E-01,na,na,na,Active
RH,30,J,E3,5.48E-02,1.79E-01,na,na,na,Active